Date & Time,Page,Report #,AI Decision,Reason,Damages Summary,Images Link,,,,,,
2026-05-22 17:20:27,1,1,NEW_DAMAGE,Found distinct new damages,Fender (Bump/dent) | Door (Scuffed) | Bumper (Scuffed),"=HYPERLINK(""QA_Images\Page_1_Report_1"", ""📁 Open Images"")",,,,,,
2026-05-22 17:21:03,1,2,DISCARD,"Privacy concerns (GDPR) due to reflection of a person in image 1. Additionally, the damage visible in image 0 appears to be an existing registered damage (scuffed on the rear left bumper).",None,"=HYPERLINK(""QA_Images\Page_1_Report_2"", ""📁 Open Images"")",,,,,,
2026-05-22 17:30:08,1,1,NEW_DAMAGE,Found distinct new damages,Side panel (Scuffed),QA_Images\Page_1_Report_1,,,,,,
2026-05-22 17:30:42,1,2,ERROR,Failed to get response from AI.,None,QA_Images\Page_1_Report_2,,,,,,
2026-05-22 17:31:02,1,3,NEW_DAMAGE,Found distinct new damages,Door (Scuffed) | License Plate (Bump/dent) | Bumper (Scuffed),QA_Images\Page_1_Report_3,,,,,,
2026-05-22 17:31:38,1,4,DISCARD,GDPR violation: A person is reflected in the car paint for a minor cosmetic damage (Rule E).,None,QA_Images\Page_1_Report_4,,,,,,
2026-05-22 17:31:52,1,5,NEW_DAMAGE,Found distinct new damages,Bumper (Scuffed),QA_Images\Page_1_Report_5,,,,,,
2026-05-22 17:32:11,1,6,NEW_DAMAGE,"Found distinct new damages, one damage discarded due to GDPR privacy rule.",Bumper (Bump/dent),QA_Images\Page_1_Report_6,,,,,,
2026-05-22 17:32:32,1,7,DISCARD,"Privacy concerns: a person is reflected in the car paint in image 2, where a minor cosmetic damage is observed. (Rule E - GDPR)",None,QA_Images\Page_1_Report_7,,,,,,
2026-05-22 17:32:48,1,8,NEW_DAMAGE,Found distinct new damages,Door (Bump/dent),QA_Images\Page_1_Report_8,,,,,,
2026-05-22 17:33:07,1,9,MANUAL_REVIEW,"Rule A (StVO/Safety): A side panel component is significantly loose/detached, which poses a potential safety hazard and requires immediate attention.",None,QA_Images\Page_1_Report_9,,,,,,
2026-05-22 17:33:20,1,10,DISCARD,"GDPR violation: A person's reflection is clearly visible in the car's exterior mirror, which shows a minor cosmetic damage, requiring the report to be discarded as per Rule E.",None,QA_Images\Page_1_Report_10,,,,,,
2026-05-22 17:33:37,1,11,ERROR,Failed to get response from AI.,None,QA_Images\Page_1_Report_11,,,,,,
2026-05-22 17:33:57,1,12,NEW_DAMAGE,Found distinct new damages,Side panel (Scratched) | Trunklid (Bump/dent),QA_Images\Page_1_Report_12,,,,,,
2026-05-22 17:35:02,1,13,NEW_DAMAGE,Found distinct new damages,Fender (Scuffed),QA_Images\Page_1_Report_13,,,,,,
